"Region","region","Tid","Alder","ledige"
"1","11","Rogaland","1999M01","15-74",2.1
"2","11","Rogaland","1999M02","15-74",2
"3","11","Rogaland","1999M03","15-74",2
"4","11","Rogaland","1999M04","15-74",2
"5","11","Rogaland","1999M05","15-74",1.8
"6","11","Rogaland","1999M06","15-74",2.1
"7","11","Rogaland","1999M07","15-74",2.4
"8","11","Rogaland","1999M08","15-74",2.6
"9","11","Rogaland","1999M09","15-74",2.4
"10","11","Rogaland","1999M10","15-74",2.5
"11","11","Rogaland","1999M11","15-74",2.5
"12","11","Rogaland","1999M12","15-74",2.6
"13","11","Rogaland","2000M01","15-74",3
"14","11","Rogaland","2000M02","15-74",2.9
"15","11","Rogaland","2000M03","15-74",2.9
"16","11","Rogaland","2000M04","15-74",2.8
"17","11","Rogaland","2000M05","15-74",2.9
"18","11","Rogaland","2000M06","15-74",3.1
"19","11","Rogaland","2000M07","15-74",3.4
"20","11","Rogaland","2000M08","15-74",3.4
"21","11","Rogaland","2000M09","15-74",3.2
"22","11","Rogaland","2000M10","15-74",3.3
"23","11","Rogaland","2000M11","15-74",3.5
"24","11","Rogaland","2000M12","15-74",3.5
"25","11","Rogaland","2001M01","15-74",3.6
"26","11","Rogaland","2001M02","15-74",3.3
"27","11","Rogaland","2001M03","15-74",3.1
"28","11","Rogaland","2001M04","15-74",2.8
"29","11","Rogaland","2001M05","15-74",2.6
"30","11","Rogaland","2001M06","15-74",2.7
"31","11","Rogaland","2001M07","15-74",2.9
"32","11","Rogaland","2001M08","15-74",3.1
"33","11","Rogaland","2001M09","15-74",3
"34","11","Rogaland","2001M10","15-74",2.9
"35","11","Rogaland","2001M11","15-74",3
"36","11","Rogaland","2001M12","15-74",3.1
"37","11","Rogaland","2002M01","15-74",3.5
"38","11","Rogaland","2002M02","15-74",3.3
"39","11","Rogaland","2002M03","15-74",3.2
"40","11","Rogaland","2002M04","15-74",3.1
"41","11","Rogaland","2002M05","15-74",3.1
"42","11","Rogaland","2002M06","15-74",3.1
"43","11","Rogaland","2002M07","15-74",3.5
"44","11","Rogaland","2002M08","15-74",3.5
"45","11","Rogaland","2002M09","15-74",3.3
"46","11","Rogaland","2002M10","15-74",3.3
"47","11","Rogaland","2002M11","15-74",3.4
"48","11","Rogaland","2002M12","15-74",3.4
"49","11","Rogaland","2003M01","15-74",4.1
"50","11","Rogaland","2003M02","15-74",3.9
"51","11","Rogaland","2003M03","15-74",3.7
"52","11","Rogaland","2003M04","15-74",3.8
"53","11","Rogaland","2003M05","15-74",3.7
"54","11","Rogaland","2003M06","15-74",3.9
"55","11","Rogaland","2003M07","15-74",4
"56","11","Rogaland","2003M08","15-74",4.2
"57","11","Rogaland","2003M09","15-74",4
"58","11","Rogaland","2003M10","15-74",3.9
"59","11","Rogaland","2003M11","15-74",3.9
"60","11","Rogaland","2003M12","15-74",3.9
"61","11","Rogaland","2004M01","15-74",4.2
"62","11","Rogaland","2004M02","15-74",4
"63","11","Rogaland","2004M03","15-74",3.7
"64","11","Rogaland","2004M04","15-74",3.6
"65","11","Rogaland","2004M05","15-74",3.4
"66","11","Rogaland","2004M06","15-74",3.5
"67","11","Rogaland","2004M07","15-74",3.8
"68","11","Rogaland","2004M08","15-74",3.7
"69","11","Rogaland","2004M09","15-74",3.6
"70","11","Rogaland","2004M10","15-74",3.5
"71","11","Rogaland","2004M11","15-74",3.4
"72","11","Rogaland","2004M12","15-74",3.3
"73","11","Rogaland","2005M01","15-74",3.7
"74","11","Rogaland","2005M02","15-74",3.6
"75","11","Rogaland","2005M03","15-74",3.5
"76","11","Rogaland","2005M04","15-74",3.3
"77","11","Rogaland","2005M05","15-74",3
"78","11","Rogaland","2005M06","15-74",3.1
"79","11","Rogaland","2005M07","15-74",3.4
"80","11","Rogaland","2005M08","15-74",3.3
"81","11","Rogaland","2005M09","15-74",3
"82","11","Rogaland","2005M10","15-74",2.9
"83","11","Rogaland","2005M11","15-74",2.5
"84","11","Rogaland","2005M12","15-74",2.5
"85","11","Rogaland","2006M01","15-74",2.5
"86","11","Rogaland","2006M02","15-74",2.3
"87","11","Rogaland","2006M03","15-74",2.2
"88","11","Rogaland","2006M04","15-74",2
"89","11","Rogaland","2006M05","15-74",1.8
"90","11","Rogaland","2006M06","15-74",1.9
"91","11","Rogaland","2006M07","15-74",2
"92","11","Rogaland","2006M08","15-74",2
"93","11","Rogaland","2006M09","15-74",1.8
"94","11","Rogaland","2006M10","15-74",1.6
"95","11","Rogaland","2006M11","15-74",1.5
"96","11","Rogaland","2006M12","15-74",1.4
"97","11","Rogaland","2007M01","15-74",1.5
"98","11","Rogaland","2007M02","15-74",1.4
"99","11","Rogaland","2007M03","15-74",1.3
"100","11","Rogaland","2007M04","15-74",1.3
"101","11","Rogaland","2007M05","15-74",1.1
"102","11","Rogaland","2007M06","15-74",1.2
"103","11","Rogaland","2007M07","15-74",1.3
"104","11","Rogaland","2007M08","15-74",1.3
"105","11","Rogaland","2007M09","15-74",1.1
"106","11","Rogaland","2007M10","15-74",1.1
"107","11","Rogaland","2007M11","15-74",1
"108","11","Rogaland","2007M12","15-74",1
"109","11","Rogaland","2008M01","15-74",1.1
"110","11","Rogaland","2008M02","15-74",1
"111","11","Rogaland","2008M03","15-74",1
"112","11","Rogaland","2008M04","15-74",1
"113","11","Rogaland","2008M05","15-74",1
"114","11","Rogaland","2008M06","15-74",1
"115","11","Rogaland","2008M07","15-74",1.1
"116","11","Rogaland","2008M08","15-74",1.1
"117","11","Rogaland","2008M09","15-74",1
"118","11","Rogaland","2008M10","15-74",1.1
"119","11","Rogaland","2008M11","15-74",1.1
"120","11","Rogaland","2008M12","15-74",1.3
"121","11","Rogaland","2009M01","15-74",1.6
"122","11","Rogaland","2009M02","15-74",1.7
"123","11","Rogaland","2009M03","15-74",1.9
"124","11","Rogaland","2009M04","15-74",1.9
"125","11","Rogaland","2009M05","15-74",1.8
"126","11","Rogaland","2009M06","15-74",1.9
"127","11","Rogaland","2009M07","15-74",2.2
"128","11","Rogaland","2009M08","15-74",2.2
"129","11","Rogaland","2009M09","15-74",2.1
"130","11","Rogaland","2009M10","15-74",2.1
"131","11","Rogaland","2009M11","15-74",2.1
"132","11","Rogaland","2009M12","15-74",2.2
"133","11","Rogaland","2010M01","15-74",2.7
"134","11","Rogaland","2010M02","15-74",2.8
"135","11","Rogaland","2010M03","15-74",2.7
"136","11","Rogaland","2010M04","15-74",2.5
"137","11","Rogaland","2010M05","15-74",2.2
"138","11","Rogaland","2010M06","15-74",2.2
"139","11","Rogaland","2010M07","15-74",2.3
"140","11","Rogaland","2010M08","15-74",2.3
"141","11","Rogaland","2010M09","15-74",2.2
"142","11","Rogaland","2010M10","15-74",2.2
"143","11","Rogaland","2010M11","15-74",2.2
"144","11","Rogaland","2010M12","15-74",2.3
"145","11","Rogaland","1999M01","15-29",2.6
"146","11","Rogaland","1999M02","15-29",2.5
"147","11","Rogaland","1999M03","15-29",2.4
"148","11","Rogaland","1999M04","15-29",2.4
"149","11","Rogaland","1999M05","15-29",2
"150","11","Rogaland","1999M06","15-29",2.6
"151","11","Rogaland","1999M07","15-29",3.2
"152","11","Rogaland","1999M08","15-29",3.4
"153","11","Rogaland","1999M09","15-29",3
"154","11","Rogaland","1999M10","15-29",3
"155","11","Rogaland","1999M11","15-29",3
"156","11","Rogaland","1999M12","15-29",3.2
"157","11","Rogaland","2000M01","15-29",3.9
"158","11","Rogaland","2000M02","15-29",3.7
"159","11","Rogaland","2000M03","15-29",3.6
"160","11","Rogaland","2000M04","15-29",3.5
"161","11","Rogaland","2000M05","15-29",3.7
"162","11","Rogaland","2000M06","15-29",4
"163","11","Rogaland","2000M07","15-29",4.5
"164","11","Rogaland","2000M08","15-29",4.6
"165","11","Rogaland","2000M09","15-29",4.2
"166","11","Rogaland","2000M10","15-29",4.2
"167","11","Rogaland","2000M11","15-29",4.3
"168","11","Rogaland","2000M12","15-29",4.4
"169","11","Rogaland","2001M01","15-29",4.8
"170","11","Rogaland","2001M02","15-29",4.4
"171","11","Rogaland","2001M03","15-29",4
"172","11","Rogaland","2001M04","15-29",3.6
"173","11","Rogaland","2001M05","15-29",3.3
"174","11","Rogaland","2001M06","15-29",3.7
"175","11","Rogaland","2001M07","15-29",3.9
"176","11","Rogaland","2001M08","15-29",4.3
"177","11","Rogaland","2001M09","15-29",4
"178","11","Rogaland","2001M10","15-29",4
"179","11","Rogaland","2001M11","15-29",4
"180","11","Rogaland","2001M12","15-29",4
"181","11","Rogaland","2002M01","15-29",5
"182","11","Rogaland","2002M02","15-29",4.5
"183","11","Rogaland","2002M03","15-29",4.5
"184","11","Rogaland","2002M04","15-29",4.2
"185","11","Rogaland","2002M05","15-29",4.2
